start_iso,iso,rel_s,state,x,y,rect_w,rect_h,iti_ms,event,outside_in_trial,max_outside_before_fail,trial_outcome,iti_kind,release_dwell_required_ms,release_dwell_elapsed_ms,,
2026-06-02T15:29:20.536,2026-06-02T15:34:03.201,282.665081,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2001,,
2026-06-02T15:29:20.536,2026-06-02T15:34:04.732,284.195917,SHOW,1042,481,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:34:04.732,0:00:05
2026-06-02T15:29:20.536,2026-06-02T15:34:05.733,285.196781,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:34:05.733,285.196831,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:34:07.733,287.197502,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2000,,
2026-06-02T15:29:20.536,2026-06-02T15:34:08.932,288.396554,SHOW,1140,377,352,352,0,TOUCH_OUTSIDE,1,5,,,,,,
2026-06-02T15:29:20.536,2026-06-02T15:34:10.314,289.777938,SHOW,1026,430,352,352,1000,TOUCH_TTL,1,,success,correct,,,15:34:10.314,15:34:10
2026-06-02T15:29:20.536,2026-06-02T15:34:11.316,290.780381,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:34:11.316,290.780431,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:34:13.320,292.783844,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2003,,
2026-06-02T15:29:20.536,2026-06-02T15:34:25.473,304.93702,SHOW,940,493,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:34:25.473,0:00:15
2026-06-02T15:29:20.536,2026-06-02T15:34:25.487,304.951598,ITI,940,493,352,352,0,TOUCH_ITI_INSIDE,,,,,,,,
2026-06-02T15:29:20.536,2026-06-02T15:34:26.476,305.94061,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:34:26.476,305.940661,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:34:28.480,307.943987,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2003,,
2026-06-02T15:29:20.536,2026-06-02T15:34:30.708,310.17222,SHOW,977,415,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:34:30.708,15:34:31
2026-06-02T15:29:20.536,2026-06-02T15:34:31.711,311.175509,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:34:31.711,311.175561,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:34:33.712,313.176708,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2001,,
2026-06-02T15:29:20.536,2026-06-02T15:34:38.586,318.05029,SHOW,964,443,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:34:38.586,0:00:08
